p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality_name,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronmooy,2017,26,266,3226.0,36,36,7942.0,96,1990-09-15,174.25,72.5,Australia,Medium/Medium,65.875,73.125,74.625,Midfielder,27,,,,,,23.877696790302362,3.0,3.0,,,
aaronmooy,2018,89,266,2467.0,29,29,7942.0,96,1990-09-15,174.25,72.5,Australia,Medium/Medium,65.875,73.125,74.625,Midfielder,28,3226.0,36.0,89.61111111111111,26.0,36.0,23.877696790302362,3.0,3.0,0.0,266.0,26.0
aaronmooy,2019,15,266,2249.0,31,36,7942.0,96,1990-09-15,174.25,72.5,Australia,Medium/Medium,65.875,73.125,74.625,Midfielder,29,5693.0,65.0,87.58461538461539,57.5,32.5,23.877696790302362,3.0,3.0,1.0,532.0,89.0
aaronramsdale,2019,11,11,3515.0,37,37,7125.0,75,1998-05-14,188.0,77.0,England,Medium/Medium,,,66.5,Goalkeeper,21,,,,,,21.785875961973744,3.0,0.0,,,
aaronramsey,2009,248,1018,852.0,18,25,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,19,,,,,,22.573838451664244,4.0,3.0,,,
aaronramsey,2009,248,1018,852.0,18,25,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,19,852.0,18.0,47.333333333333336,248.0,18.0,22.573838451664244,4.0,3.0,1.0,1018.0,248.0
aaronramsey,2010,7,1018,375.0,7,9,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,20,1704.0,36.0,47.333333333333336,248.0,18.0,22.573838451664244,4.0,3.0,1.0,2036.0,248.0
aaronramsey,2010,7,1018,375.0,7,9,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,20,2079.0,43.0,48.348837209302324,167.66666666666666,14.333333333333334,22.573838451664244,4.0,3.0,0.0,3054.0,7.0
aaronramsey,2011,14,1018,2589.0,34,35,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,21,2454.0,50.0,49.08,127.5,12.5,22.573838451664244,4.0,3.0,0.0,4072.0,7.0
aaronramsey,2011,14,1018,2589.0,34,35,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,21,5043.0,84.0,60.035714285714285,104.8,16.8,22.573838451664244,4.0,3.0,0.0,5090.0,14.0
aaronramsey,2013,98,1018,1849.0,23,23,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,23,7632.0,118.0,64.67796610169492,89.66666666666667,19.666666666666668,22.573838451664244,4.0,3.0,0.0,6108.0,14.0
aaronramsey,2013,98,1018,1849.0,23,23,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,23,9481.0,141.0,67.24113475177305,90.85714285714286,20.142857142857142,22.573838451664244,4.0,3.0,1.0,7126.0,98.0
aaronramsey,2014,73,1018,2155.0,29,30,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,24,11330.0,164.0,69.08536585365853,91.75,20.5,22.573838451664244,4.0,3.0,1.0,8144.0,98.0
aaronramsey,2014,73,1018,2155.0,29,30,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,24,13485.0,193.0,69.87046632124353,89.66666666666667,21.444444444444443,22.573838451664244,4.0,3.0,1.0,9162.0,73.0
aaronramsey,2015,59,1018,2768.0,31,32,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,25,15640.0,222.0,70.45045045045045,88.0,22.2,22.573838451664244,4.0,3.0,1.0,10180.0,73.0
aaronramsey,2015,59,1018,2768.0,31,32,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,25,18408.0,253.0,72.7588932806324,85.36363636363636,23.0,22.573838451664244,4.0,3.0,1.0,11198.0,59.0
aaronramsey,2016,122,1018,1329.0,23,24,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,26,21176.0,284.0,74.56338028169014,83.16666666666667,23.666666666666668,22.573838451664244,4.0,3.0,1.0,12216.0,59.0
aaronramsey,2016,122,1018,1329.0,23,24,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,26,22505.0,307.0,73.30618892508143,86.15384615384616,23.615384615384617,22.573838451664244,4.0,3.0,1.0,13234.0,122.0
aaronramsey,2017,44,1018,1945.0,24,24,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,27,23834.0,330.0,72.22424242424242,88.71428571428571,23.571428571428573,22.573838451664244,4.0,3.0,1.0,14252.0,122.0
aaronramsey,2017,44,1018,1945.0,24,24,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,27,25779.0,354.0,72.82203389830508,85.73333333333333,23.6,22.573838451664244,4.0,3.0,1.0,15270.0,44.0
aaronramsey,2018,157,1018,1418.0,28,31,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,28,27724.0,378.0,73.34391534391534,83.125,23.625,22.573838451664244,4.0,3.0,1.0,16288.0,44.0
aaronramsey,2018,157,1018,1418.0,28,31,17781.0,262,1990-12-26,180.75,73.75,Wales,High/High,68.25,73.875,82.25,Midfielder,28,29142.0,406.0,71.77832512315271,87.47058823529412,23.88235294117647,22.573838451664244,4.0,3.0,1.0,17306.0,157.0
abdelhamidsabiri,2018,95,283,48.0,2,2,282.0,7,1996-11-28,186.0,80.0,Germany,Medium/Medium,70.75,64.0,65.0,Midfielder,22,,,,,,23.12406058503873,3.0,3.0,,,
aboubakarkamara,2018,42,168,745.0,13,17,1102.0,24,1995-03-07,177.0,78.14285714285714,France,Medium/Medium,74.28571428571429,65.42857142857143,66.28571428571429,Forward,23,,,,,,24.942659243147606,3.0,2.0,,,
adamarmstrong,2014,19,26,252.0,11,24,302.0,15,1997-02-10,171.5,69.0,England,High/Medium,85.875,64.75,68.375,Forward,17,,,,,,23.459612916386877,3.5,2.0,,,
adamfederici,2015,8,373,520.0,6,37,2827.0,31,1985-01-31,188.0,90.0,Australia,Medium/Medium,,,71.75,Goalkeeper,30,,,,,,25.46401086464464,3.0,0.0,,,
adamfederici,2016,157,373,190.0,2,22,2827.0,31,1985-01-31,188.0,90.0,Australia,Medium/Medium,,,71.75,Goalkeeper,31,520.0,6.0,86.66666666666667,8.0,6.0,25.46401086464464,3.0,0.0,0.0,373.0,8.0
adamidah,2019,28,481,273.0,12,17,273.0,12,2001-02-11,190.0,83.0,Republic of Ireland,High/Medium,73.66666666666667,64.0,65.0,Forward,18,,,,,,22.991689750692522,3.5,2.0,,,
adamlallana,2012,49,683,2331.0,30,30,14992.0,226,1988-05-10,175.125,72.875,England,High/High,70.25,67.0,79.375,Midfielder,24,,,,,,23.761960585917777,4.0,3.0,,,
adamlallana,2014,88,683,1849.0,27,31,14992.0,226,1988-05-10,175.125,72.875,England,High/High,70.25,67.0,79.375,Midfielder,26,2331.0,30.0,77.7,49.0,30.0,23.761960585917777,4.0,3.0,1.0,683.0,49.0
adamlallana,2015,38,683,2202.0,30,32,14992.0,226,1988-05-10,175.125,72.875,England,High/High,70.25,67.0,79.375,Midfielder,27,4180.0,57.0,73.33333333333333,68.5,28.5,23.761960585917777,4.0,3.0,1.0,1366.0,88.0
adamlallana,2016,63,683,2425.0,31,31,14992.0,226,1988-05-10,175.125,72.875,England,High/High,70.25,67.0,79.375,Midfielder,28,6382.0,87.0,73.35632183908046,58.333333333333336,29.0,23.761960585917777,4.0,3.0,1.0,2049.0,38.0
adamlallana,2017,160,683,285.0,12,14,14992.0,226,1988-05-10,175.125,72.875,England,High/High,70.25,67.0,79.375,Midfielder,29,8807.0,118.0,74.63559322033899,59.5,29.5,23.761960585917777,4.0,3.0,1.0,2732.0,63.0
adamlallana,2018,142,683,505.0,13,24,14992.0,226,1988-05-10,175.125,72.875,England,High/High,70.25,67.0,79.375,Midfielder,30,9092.0,130.0,69.93846153846154,79.6,26.0,23.761960585917777,4.0,3.0,1.0,3415.0,160.0
adamlallana,2020,48,683,1693.0,30,31,14992.0,226,1988-05-10,175.125,72.875,England,High/High,70.25,67.0,79.375,Midfielder,32,9597.0,143.0,67.1118881118881,90.0,23.833333333333332,23.761960585917777,4.0,3.0,1.0,4098.0,142.0
adammatthews,2015,62,425,41.0,1,6,41.0,1,1992-01-13,178.0,71.0,Wales,High/Medium,76.5,70.16666666666667,70.5,Defender,23,,,,,,22.408786769347305,3.5,1.0,,,
adamsmith,2015,90,360,2235.0,31,32,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Defender,24,,,,,,24.344135802469133,3.5,1.0,,,
adamsmith,2015,90,360,2235.0,31,32,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Goalkeeper,24,2235.0,31.0,72.09677419354838,90.0,31.0,24.344135802469133,3.5,0.0,1.0,360.0,90.0
adamsmith,2015,90,360,2235.0,31,32,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Defender,23,4470.0,62.0,72.09677419354838,90.0,31.0,20.67051394855338,3.0,1.0,1.0,720.0,90.0
adamsmith,2015,90,360,2235.0,31,32,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Goalkeeper,23,6705.0,93.0,72.09677419354838,90.0,31.0,20.67051394855338,3.0,0.0,1.0,1080.0,90.0
adamsmith,2017,49,360,2194.0,27,28,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Defender,26,8940.0,124.0,72.09677419354838,90.0,31.0,24.344135802469133,3.5,1.0,1.0,1440.0,90.0
adamsmith,2017,49,360,2194.0,27,28,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Goalkeeper,26,11134.0,151.0,73.73509933774834,81.8,30.2,24.344135802469133,3.5,0.0,1.0,1800.0,49.0
adamsmith,2017,49,360,2194.0,27,28,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Defender,25,13328.0,178.0,74.87640449438203,76.33333333333333,29.666666666666668,20.67051394855338,3.0,1.0,1.0,2160.0,49.0
adamsmith,2017,49,360,2194.0,27,28,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Goalkeeper,25,15522.0,205.0,75.71707317073171,72.42857142857143,29.285714285714285,20.67051394855338,3.0,0.0,1.0,2520.0,49.0
adamsmith,2018,107,360,2200.0,25,25,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Defender,27,17716.0,232.0,76.36206896551724,69.5,29.0,24.344135802469133,3.5,1.0,1.0,2880.0,49.0
adamsmith,2018,107,360,2200.0,25,25,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Goalkeeper,27,19916.0,257.0,77.49416342412451,73.66666666666667,28.555555555555557,24.344135802469133,3.5,0.0,1.0,3240.0,107.0
adamsmith,2018,107,360,2200.0,25,25,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Defender,26,22116.0,282.0,78.42553191489361,77.0,28.2,20.67051394855338,3.0,1.0,1.0,3600.0,107.0
adamsmith,2018,107,360,2200.0,25,25,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Goalkeeper,26,24316.0,307.0,79.20521172638436,79.72727272727273,27.90909090909091,20.67051394855338,3.0,0.0,1.0,3960.0,107.0
adamsmith,2019,93,360,2155.0,24,24,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Defender,28,26516.0,332.0,79.86746987951807,82.0,27.666666666666668,24.344135802469133,3.5,1.0,1.0,4320.0,107.0
adamsmith,2019,93,360,2155.0,24,24,12082.0,144,1991-04-29,180.0,78.875,England,High/Medium,73.25,67.375,72.375,Goalkeeper,28,28671.0,356.0,80.53651685393258,82.84615384615384,27.384615384615383,24.344135802469133,3.5,0.0,1.0,4680.0,93.0
adamsmith,2019,93,360,2155.0,24,24,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Defender,27,30826.0,380.0,81.12105263157895,83.57142857142857,27.142857142857142,20.67051394855338,3.0,1.0,1.0,5040.0,93.0
adamsmith,2019,93,360,2155.0,24,24,12082.0,144,1992-11-23,185.33333333333334,71.0,England,Medium/Medium,,,61.833333333333336,Goalkeeper,27,32981.0,404.0,81.63613861386139,84.2,26.933333333333334,20.67051394855338,3.0,0.0,1.0,5400.0,93.0
adamwebster,2019,31,618,2815.0,31,36,5550.0,60,1995-01-04,190.25,75.0,England,Medium/Medium,65.25,70.0,69.125,Defender,24,,,,,,20.721058293517242,3.0,1.0,,,
adamwebster,2020,16,618,2735.0,29,31,5550.0,60,1995-01-04,190.25,75.0,England,Medium/Medium,65.25,70.0,69.125,Defender,25,2815.0,31.0,90.80645161290323,31.0,31.0,20.721058293517242,3.0,1.0,1.0,618.0,31.0
ademolalookman,2018,78,105,701.0,21,30,4069.0,70,1997-10-20,174.0,75.66666666666667,England,High/Medium,83.0,59.333333333333336,70.66666666666667,Forward,21,,,,,,24.992293125467917,3.5,2.0,,,
ademolalookman,2020,8,105,2872.0,34,34,4069.0,70,1997-10-20,174.0,75.66666666666667,England,High/Medium,83.0,59.333333333333336,70.66666666666667,Forward,23,701.0,21.0,33.38095238095238,78.0,21.0,24.992293125467917,3.5,2.0,1.0,105.0,78.0
adnanjanuzaj,2015,51,323,159.0,5,7,4536.0,75,1995-02-05,183.75,75.5,Belgium,Medium/Low,79.125,54.125,77.625,Midfielder,20,,,,,,22.361053264843356,2.5,3.0,,,
adnanjanuzaj,2016,42,323,1715.0,25,31,4536.0,75,1995-02-05,183.75,75.5,Belgium,Medium/Low,79.125,54.125,77.625,Midfielder,21,159.0,5.0,31.8,51.0,5.0,22.361053264843356,2.5,3.0,1.0,323.0,51.0
adrianmariappa,2016,52,52,596.0,7,17,14366.0,168,1986-10-03,179.0,79.66666666666667,Jamaica,Medium/Medium,66.33333333333333,71.5,72.33333333333333,Defender,30,,,,,,24.86397636361745,3.0,1.0,,,
ahmedelmohamady,2020,54,60,856.0,14,38,15278.0,197,1987-09-09,182.28571428571428,78.0,Egypt,High/High,75.57142857142857,71.85714285714286,72.28571428571429,Defender,33,,,,,,23.47412073387644,4.0,1.0,,,
aidenmcgeady,2013,47,497,525.0,16,17,1447.0,32,1986-04-04,177.375,71.25,Republic of Ireland,High/Medium,76.75,61.25,73.75,Midfielder,27,,,,,,22.6464457744265,3.5,3.0,,,
aidenmcgeady,2014,14,497,922.0,16,26,1447.0,32,1986-04-04,177.375,71.25,Republic of Ireland,High/Medium,76.75,61.25,73.75,Midfielder,28,525.0,16.0,32.8125,47.0,16.0,22.6464457744265,3.5,3.0,1.0,497.0,47.0
aidenmcgeady,2015,43,497,0.0,0,1,1447.0,32,1986-04-04,177.375,71.25,Republic of Ireland,High/Medium,76.75,61.25,73.75,Midfielder,29,1447.0,32.0,45.21875,30.5,16.0,22.6464457744265,3.5,3.0,0.0,994.0,14.0
albianajeti,2019,16,286,175.0,9,28,175.0,9,1997-02-26,182.875,77.125,Switzerland,High/Medium,76.125,67.875,68.25,Forward,22,,,,,,23.06144407810055,3.5,2.0,,,
aleksandarkolarov,2012,32,207,1131.0,20,33,12602.0,164,1985-11-10,187.0,82.25,Serbia,High/Medium,68.0,78.125,79.875,Defender,27,,,,,,23.520832737567556,3.5,1.0,,,
aleksandarkolarov,2014,33,207,1583.0,21,30,12602.0,164,1985-11-10,187.0,82.25,Serbia,High/Medium,68.0,78.125,79.875,Defender,29,1131.0,20.0,56.55,32.0,20.0,23.520832737567556,3.5,1.0,1.0,207.0,32.0
aleksandarmitrovic,2017,41,137,119.0,6,10,7442.0,104,1994-09-16,188.5,85.0,Serbia,Medium/Medium,62.875,80.375,75.875,Forward,23,,,,,,23.921930077605555,3.0,2.0,,,
aleksandarmitrovic,2020,17,137,1520.0,27,30,7442.0,104,1994-09-16,188.5,85.0,Serbia,Medium/Medium,62.875,80.375,75.875,Forward,26,119.0,6.0,19.833333333333332,41.0,6.0,23.921930077605555,3.0,2.0,1.0,137.0,41.0
alexandertettey,2012,45,457,2018.0,27,30,8074.0,101,1986-04-04,180.0,68.0,Norway,Medium/High,67.0,79.125,72.625,Midfielder,26,,,,,,20.98765432098765,3.5,3.0,,,
alexandertettey,2013,84,457,1572.0,21,26,8074.0,101,1986-04-04,180.0,68.0,Norway,Medium/High,67.0,79.125,72.625,Midfielder,27,2018.0,27.0,74.74074074074075,45.0,27.0,20.98765432098765,3.5,3.0,1.0,457.0,45.0
alexandertettey,2015,168,457,2052.0,23,23,8074.0,101,1986-04-04,180.0,68.0,Norway,Medium/High,67.0,79.125,72.625,Midfielder,29,3590.0,48.0,74.79166666666667,64.5,24.0,20.98765432098765,3.5,3.0,1.0,914.0,84.0
alexandertettey,2019,46,457,2432.0,30,33,8074.0,101,1986-04-04,180.0,68.0,Norway,Medium/High,67.0,79.125,72.625,Midfielder,33,5642.0,71.0,79.46478873239437,99.0,23.666666666666668,20.98765432098765,3.5,3.0,1.0,1371.0,168.0
alexandrelacazette,2017,44,193,2291.0,32,33,8906.0,128,1991-05-28,175.125,73.5,France,High/High,82.625,73.875,83.5,Forward,26,,,,,,23.96575098545395,4.0,2.0,,,
alexandrelacazette,2018,19,193,2635.0,35,37,8906.0,128,1991-05-28,175.125,73.5,France,High/High,82.625,73.875,83.5,Forward,27,2291.0,32.0,71.59375,44.0,32.0,23.96575098545395,4.0,2.0,1.0,193.0,44.0
alexandrelacazette,2019,48,193,1965.0,30,34,8906.0,128,1991-05-28,175.125,73.5,France,High/High,82.625,73.875,83.5,Forward,28,4926.0,67.0,73.5223880597015,31.5,33.5,23.96575098545395,4.0,2.0,0.0,386.0,19.0
alexandrelacazette,2020,1,193,2015.0,31,36,8906.0,128,1991-05-28,175.125,73.5,France,High/High,82.625,73.875,83.5,Forward,29,6891.0,97.0,71.04123711340206,37.0,32.333333333333336,23.96575098545395,4.0,2.0,1.0,579.0,48.0
alexismacallister,2020,38,38,1178.0,21,30,1550.0,30,1998-12-24,174.8,71.2,Argentina,Medium/Medium,69.6,58.6,71.0,Midfielder,22,,,,,,23.302211353675197,3.0,3.0,,,
alexiwobi,2016,27,63,1522.0,26,35,9425.0,155,1996-05-03,181.57142857142858,73.71428571428571,Nigeria,Medium/Medium,77.71428571428571,64.42857142857143,72.57142857142857,Forward,20,,,,,,22.35921955676499,3.0,2.0,,,
alexiwobi,2018,1,63,2072.0,35,36,9425.0,155,1996-05-03,181.57142857142858,73.71428571428571,Nigeria,Medium/Medium,77.71428571428571,64.42857142857143,72.57142857142857,Forward,22,1522.0,26.0,58.53846153846154,27.0,26.0,22.35921955676499,3.0,2.0,0.0,63.0,27.0
alexiwobi,2019,35,63,1657.0,25,30,9425.0,155,1996-05-03,181.57142857142858,73.71428571428571,Nigeria,Medium/Medium,77.71428571428571,64.42857142857143,72.57142857142857,Forward,23,3594.0,61.0,58.91803278688525,14.0,30.5,22.35921955676499,3.0,2.0,0.0,126.0,1.0
alexmccarthy,2012,128,647,1235.0,13,18,11746.0,124,1989-12-03,193.0,79.0,England,Medium/Medium,,,75.75,Goalkeeper,23,,,,,,21.20862305028323,3.0,0.0,,,
alexmccarthy,2016,291,647,0.0,0,9,11746.0,124,1989-12-03,193.0,79.0,England,Medium/Medium,,,75.75,Goalkeeper,27,1235.0,13.0,95.0,128.0,13.0,21.20862305028323,3.0,0.0,1.0,647.0,128.0
alexmccarthy,2018,52,647,2375.0,25,33,11746.0,124,1989-12-03,193.0,79.0,England,Medium/Medium,,,75.75,Goalkeeper,29,1235.0,13.0,95.0,209.5,6.5,21.20862305028323,3.0,0.0,1.0,1294.0,291.0
alexmccarthy,2019,9,647,2660.0,28,36,11746.0,124,1989-12-03,193.0,79.0,England,Medium/Medium,,,75.75,Goalkeeper,30,3610.0,38.0,95.0,157.0,12.666666666666666,21.20862305028323,3.0,0.0,1.0,1941.0,52.0
alexmccarthy,2020,16,647,2850.0,30,37,11746.0,124,1989-12-03,193.0,79.0,England,Medium/Medium,,,75.75,Goalkeeper,31,6270.0,66.0,95.0,120.0,16.5,21.20862305028323,3.0,0.0,0.0,2588.0,9.0
alexpritchard,2015,153,344,82.0,3,9,3355.0,48,1993-05-03,171.0,62.0,England,High/Medium,70.75,50.5,71.125,Midfielder,22,,,,,,21.20310522895934,3.5,3.0,,,
alexpritchard,2017,132,344,1088.0,14,16,3355.0,48,1993-05-03,171.0,62.0,England,High/Medium,70.75,50.5,71.125,Midfielder,24,82.0,3.0,27.333333333333332,153.0,3.0,21.20310522895934,3.5,3.0,1.0,344.0,153.0
alexpritchard,2018,16,344,2173.0,30,37,3355.0,48,1993-05-03,171.0,62.0,England,High/Medium,70.75,50.5,71.125,Midfielder,25,1170.0,17.0,68.82352941176471,142.5,8.5,21.20310522895934,3.5,3.0,1.0,688.0,132.0
alexsmithies,2018,50,89,0.0,0,26,0.0,0,1990-03-05,188.625,87.5,England,Medium/Medium,,,70.875,Goalkeeper,28,,,,,,24.59288887834908,3.0,0.0,,,
alfiemawson,2018,193,671,1195.0,15,19,7370.0,80,1994-01-19,188.375,85.875,England,Medium/High,54.125,69.625,67.875,Defender,24,,,,,,24.200270447709403,3.5,1.0,,,
alirezajahanbakhsh,2018,68,438,1075.0,19,24,2008.0,50,1993-08-11,180.0,77.14285714285714,Iran,High/High,81.42857142857143,70.0,74.14285714285714,Forward,25,,,,,,23.809523809523807,4.0,2.0,,,
alirezajahanbakhsh,2019,31,438,339.0,10,19,2008.0,50,1993-08-11,180.0,77.14285714285714,Iran,High/High,81.42857142857143,70.0,74.14285714285714,Forward,26,1075.0,19.0,56.578947368421055,68.0,19.0,23.809523809523807,4.0,2.0,1.0,438.0,68.0
alirezajahanbakhsh,2020,78,438,594.0,21,27,2008.0,50,1993-08-11,180.0,77.14285714285714,Iran,High/High,81.42857142857143,70.0,74.14285714285714,Forward,27,1414.0,29.0,48.758620689655174,49.5,14.5,23.809523809523807,4.0,2.0,1.0,876.0,31.0
allanmcgregor,2013,70,364,2420.0,26,26,4890.0,52,1982-01-31,183.0,80.25,Scotland,Medium/Medium,,,74.5,Goalkeeper,31,,,,,,23.96309235868494,3.0,0.0,,,
allanmcgregor,2014,35,364,2470.0,26,33,4890.0,52,1982-01-31,183.0,80.25,Scotland,Medium/Medium,,,74.5,Goalkeeper,32,2420.0,26.0,93.07692307692308,70.0,26.0,23.96309235868494,3.0,0.0,1.0,364.0,70.0
anderslindegaard,2010,47,126,0.0,0,4,1805.0,19,1984-04-13,193.0,82.6,Denmark,Medium/Medium,,,71.0,Goalkeeper,26,,,,,,22.175091948777148,3.0,0.0,,,
anderslindegaard,2011,36,126,760.0,8,22,1805.0,19,1984-04-13,193.0,82.6,Denmark,Medium/Medium,,,71.0,Goalkeeper,27,0.0,0.0,,47.0,0.0,22.175091948777148,3.0,0.0,1.0,126.0,47.0
andrearanocchia,2016,11,320,1404.0,16,16,1404.0,16,1988-02-16,195.0,81.0,Italy,Medium/Medium,42.625,72.25,75.75,Defender,28,,,,,,21.301775147928996,3.0,1.0,,,
andreaschristensen,2017,12,211,2178.0,27,36,6236.0,74,1996-04-10,187.625,77.75,Denmark,Low/Medium,63.25,69.25,75.125,Defender,21,,,,,,22.08609760936635,2.5,1.0,,,
andreaschristensen,2018,15,211,655.0,8,30,6236.0,74,1996-04-10,187.625,77.75,Denmark,Low/Medium,63.25,69.25,75.125,Defender,22,2178.0,27.0,80.66666666666667,12.0,27.0,22.08609760936635,2.5,1.0,0.0,211.0,12.0
